lead_id,source_system,source_record_id,ingested_at,incident_date,report_filing_date,jurisdiction,geo,severity_ordinal,contact,consent,eligibility_status,blocked_until_date,reason_codes,legal_basis,decision_lineage_id,evaluated_at,ruleset_version,priority_score,score_components
LD_41cafb7bfd23b1be,OTHER,pt_a6cb3df2545b3b74d5f985a2b1734e09,2026-09-01T18:20:13+00:00,2026-06-19,2026-06-21,FL,"{""zip5"": ""33130"", ""census_tract"": ""12086006606"", ""census_bg"": ""120860066062"", ""h3_r8"": ""8844a11283fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": null, ""snap_distance_m"": null}",,"{""phone_token"": ""ph_5ac75a84741d7e60fac700e8c93fc8c6"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-30T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:305->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & FL 08:00-20:00 [Fla. Stat. 501.616(6)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-06-21T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.120"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",59f9399b1b3c0a24ed7d8be9d5b26b264f84aee5744e83fad433877067c17064,2026-09-01T00:00:00+00:00,1.0.0,,
LD_4de94fc1c91ebabb,OTHER,pt_a4909c25ef8fd36f9efedd389db55b26,2026-09-01T18:20:13+00:00,2026-06-05,2026-06-07,FL,"{""zip5"": ""33602"", ""census_tract"": ""12057005101"", ""census_bg"": ""120570051011"", ""h3_r8"": ""88441a89abfffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": null, ""snap_distance_m"": null}",,"{""phone_token"": ""ph_740d084968ac283c18d79df59d0f9359"", ""line_type"": ""landline"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-28T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:813->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & FL 08:00-20:00 [Fla. Stat. 501.616(6)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-06-07T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.35"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",e5feba0e59a3be4769baff135b09d8c83a48f604a9ecbe7cc5dc37cdab9b2ec1,2026-09-01T00:00:00+00:00,1.0.0,,
LD_4f05d6f0656811be,MONTGOMERY_MD,1116047660207962495,2026-09-01T18:20:13+00:00,2026-07-24,2026-07-26,MD,"{""zip5"": ""20854"", ""census_tract"": ""24031706005"", ""census_bg"": ""240317060053"", ""h3_r8"": ""882aa84abdfffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": ""service"", ""snap_distance_m"": 2.0}",1,"{""phone_token"": ""ph_d0a12488b249754b96cd6ad83a95c894"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-30T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:240->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-07-26T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.78"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",c6efe686f0be2987d3f8464a21b94537e81a7a71b8c1088e9312f9cccd03dc2c,2026-09-01T00:00:00+00:00,1.0.0,,
LD_55f5e632ed175810,OTHER,pt_4db7f51376a4ae8369b6888218232e33,2026-09-01T18:20:13+00:00,2026-05-29,2026-06-01,FL,"{""zip5"": ""32502"", ""census_tract"": ""12033000600"", ""census_bg"": ""120330006001"", ""h3_r8"": ""8844529309fffff"", ""iana_timezone"": ""America/Chicago"", ""road_class"": null, ""snap_distance_m"": null}",,"{""phone_token"": ""ph_6c0738af355ddde668d6f03b0b061bd1"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-29T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""19:00"", ""basis"": ""coords:America/Chicago ∩ npa:850->{America/New_York, America/Chicago}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & FL 08:00-20:00 [Fla. Stat. 501.616(6)] -> stricter 08:00-20:00; expressed in America/Chicago on TUESDAY (2026-09-01) -> 08:00-19:00; intersection narrowed the window by 60 min""}}","{""obtained_at"": ""2026-06-01T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.226"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",7b3d6d7df42c365bf885fe7eda6903fe4fea021491d0b2b6b8fbf6ad3ad1a91c,2026-09-01T00:00:00+00:00,1.0.0,,
LD_56a75ae63f7b28db,OTHER,pt_0c3b29a75ee76ef6e6929ea280c6c070,2026-09-01T18:20:13+00:00,2026-06-30,2026-07-02,MD,"{""zip5"": ""20904"", ""census_tract"": ""24031701503"", ""census_bg"": ""240317015032"", ""h3_r8"": ""882aa842c1fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": ""residential"", ""snap_distance_m"": 47.61}",,"{""phone_token"": ""ph_8a11b62d71d23388cc068292d5cce82d"", ""line_type"": ""landline"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-29T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:240->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-07-02T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.140"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",f627a69761654312bea0df8c487391b9dbd74bba79cfd9d8b1efd4e8911a19ef,2026-09-01T00:00:00+00:00,1.0.0,,
LD_573155082ca3ff2b,MONTGOMERY_MD,629903062695510721,2026-09-01T18:20:13+00:00,2026-07-30,2026-08-01,MD,"{""zip5"": ""20832"", ""census_tract"": ""24031701312"", ""census_bg"": ""240317013123"", ""h3_r8"": ""882aa851a5fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": ""primary"", ""snap_distance_m"": 2.51}",1,"{""phone_token"": ""ph_6870c43bb8dc85c036907871ffacd554"", ""line_type"": ""unknown"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-31T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:301->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-08-01T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.126"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",INELIGIBLE,,"[""LINE_TYPE_UNRESOLVED"", ""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A)(iii). An unresolved line type cannot be shown to be a landline, so it takes the wireless treatment; and because the routing decision itself rests on unknown carrier data it is also a refresh hold."", ""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",e25a48f390da4b214917fb8f84b1abd379e8d066ccf6c4e986041efd6db8bfbb,2026-09-01T00:00:00+00:00,1.0.0,,
LD_5b57109551aa657f,OTHER,pt_fc62e087aafbf10e2b975ced8ae8ec26,2026-09-01T18:20:13+00:00,2026-07-05,2026-07-06,MD,"{""zip5"": ""20872"", ""census_tract"": ""24031700208"", ""census_bg"": ""240317002081"", ""h3_r8"": ""882aae2ed5fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": ""service"", ""snap_distance_m"": 4.08}",,"{""phone_token"": ""ph_f1fcea3aa21fc26f1f66da9dcc5c14d7"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-29T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:301->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-07-06T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.237"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",8e17188ac8623fd6f976b6007bd8e9ca49b874b83f12c9146145d689d853ce46,2026-09-01T00:00:00+00:00,1.0.0,,
LD_60f557d9c6b27ab9,OTHER,pt_705c7a72369db59879e9914f1e855ef6,2026-09-01T18:20:13+00:00,2026-08-12,2026-08-13,MD,"{""zip5"": ""20903"", ""census_tract"": ""24031702102"", ""census_bg"": ""240317021021"", ""h3_r8"": ""882aa842b3fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": null, ""snap_distance_m"": 144.37}",,"{""phone_token"": ""ph_14e7aec41e13a6909fe732e3247d2e2e"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-30T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:240->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-08-13T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.20"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",INELIGIBLE,,"[""SNAP_DISTANCE_EXCEEDED"", ""ELIGIBLE_CONSENTED""]","[""No statute. A data-quality bar under the assignment's own default: a record whose location cannot be tied to the road network it claims to be on has an unverified location, and Part 5's default disposition is INELIGIBLE."", ""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",57479ef370f8ed0220320f21addc8fc969875e95e8239255b637a095afe661bf,2026-09-01T00:00:00+00:00,1.0.0,,
LD_656db247441f4745,OTHER,pt_b0ec66ccc1326a9ea18b51302f45b4f6,2026-09-01T18:20:13+00:00,2026-07-12,2026-07-14,TX,"{""zip5"": ""78205"", ""census_tract"": ""48029110100"", ""census_bg"": ""480291101001"", ""h3_r8"": ""88489c1ad1fffff"", ""iana_timezone"": ""America/Chicago"", ""road_class"": null, ""snap_distance_m"": null}",,"{""phone_token"": ""ph_6c6dd7ee42fbd14426085d83a429524a"", ""line_type"": ""landline"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-29T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""09:00"", ""latest"": ""21:00"", ""basis"": ""coords:America/Chicago = npa:210->{America/Chicago}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & TX 09:00-21:00 [Tex. Bus. & Com. Code 301.051] -> stricter 09:00-21:00; expressed in America/Chicago on TUESDAY (2026-09-01) -> 09:00-21:00""}}","{""obtained_at"": ""2026-07-14T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.222"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",259dc2f1e828d4fe5bf17d5044ad979cf300f6c8fd1af1516d8f0e70c6cffee9,2026-09-01T00:00:00+00:00,1.0.0,,
LD_6be717132aa0dc8f,OTHER,pt_592229b7514c5d6dcbee50f0735c5252,2026-09-01T18:20:13+00:00,2026-08-15,2026-08-16,MD,"{""zip5"": ""20878"", ""census_tract"": ""24031700826"", ""census_bg"": ""240317008263"", ""h3_r8"": ""882aa859b3fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": null, ""snap_distance_m"": 52.99}",,"{""phone_token"": ""ph_e2b53418374bdd43325c8abb5703eed6"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-28T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:301->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-08-16T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.226"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",INELIGIBLE,,"[""SNAP_DISTANCE_EXCEEDED"", ""ELIGIBLE_CONSENTED""]","[""No statute. A data-quality bar under the assignment's own default: a record whose location cannot be tied to the road network it claims to be on has an unverified location, and Part 5's default disposition is INELIGIBLE."", ""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",4971fa2343d2a24b3859b756b93b2f666cab81bf495e2128b3eba872564d8f56,2026-09-01T00:00:00+00:00,1.0.0,,
LD_8ab8cacf0d2ee167,MONTGOMERY_MD,413651262105473156,2026-09-01T18:20:13+00:00,2026-07-02,2026-07-03,MD,"{""zip5"": ""20814"", ""census_tract"": ""24031704804"", ""census_bg"": ""240317048041"", ""h3_r8"": ""882aa84e45fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": ""service"", ""snap_distance_m"": 29.02}",1,"{""phone_token"": ""ph_7503d2dde6c921fd0c9cb4d0cdee312e"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-30T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:240->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-07-03T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.19"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",INELIGIBLE,,"[""DPPA_NO_PERMISSIBLE_USE"", ""CONSENT_REVOKED"", ""LIVE_SOLICITATION_PROHIBITED""]","[""18 U.S.C. 2721(b); Maracich v. Spears, 570 U.S. 48 (2013). No permissible use can be stated for an identity record whose subject did not supply it."", ""47 C.F.R. 64.1200(a)(10): a revocation must be honoured within a reasonable time not to exceed ten business days."", ""Md. Rule 19-307.3(b) (a lawyer shall not solicit professional employment by live person-to-person contact); ABA Model Rule 7.3 cmt. [2], which defines live person-to-person contact to include live telephone.""]",af9748da59dd23e7ebbcb77fa74bcd4975f00823398cf8cf4255173460919d84,2026-09-01T00:00:00+00:00,1.0.0,,
LD_915f8007a6c85a59,MONTGOMERY_MD,889836085878193140,2026-09-01T18:20:13+00:00,2026-08-07,2026-08-08,MD,"{""zip5"": ""20902"", ""census_tract"": ""24031703800"", ""census_bg"": ""240317038002"", ""h3_r8"": ""882aa84015fffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": ""primary"", ""snap_distance_m"": 6.54}",3,"{""phone_token"": ""ph_df04485af2a8573ccfc2ec854aed897c"", ""line_type"": ""voip"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-26T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:240->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-08-08T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.228"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""LINE_TYPE_VOIP_RESTRICTED"", ""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A)(iii); 47 C.F.R. 64.1200(a)(1). A VoIP number may terminate on a wireless handset and may be charged for the call, so it is routed to the wireless tier plus the consent requirement."", ""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",0ca970e14dcbbafe5fe1ac5223e93e233b87a778001454024c43cf730023322c,2026-09-01T00:00:00+00:00,1.0.0,,
LD_924cb0fe631758a0,OTHER,pt_b7b54103b24176773d34b628c7bf216c,2026-09-01T18:20:13+00:00,2026-06-23,2026-06-25,MD,"{""zip5"": ""20816"", ""census_tract"": ""24031705702"", ""census_bg"": ""240317057021"", ""h3_r8"": ""882aa84e2bfffff"", ""iana_timezone"": ""America/New_York"", ""road_class"": ""residential"", ""snap_distance_m"": 9.58}",,"{""phone_token"": ""ph_fe3763a3bbfadeb8d1965a127dad20b0"", ""line_type"": ""wireless"", ""line_type_asof"": null, ""dnc_scrub_asof"": ""2026-08-30T00:00:00+00:00"", ""rnd_response"": ""NO"", ""calling_window_local"": {""earliest"": ""08:00"", ""latest"": ""20:00"", ""basis"": ""coords:America/New_York = npa:301->{America/New_York}; federal 08:00-21:00 [16 C.F.R. 310.4(c) and 47 C.F.R. 64.1200(c)(1)] & MD 08:00-20:00 [Md. Code Com. Law 14-4502(c)(1)] -> stricter 08:00-20:00; expressed in America/New_York on TUESDAY (2026-09-01) -> 08:00-20:00""}}","{""obtained_at"": ""2026-06-25T12:00:00+00:00"", ""disclosure_hash"": ""6243db4dec2398d5b335ab401af41a6c35ef2f7daded58bbe763a19540a14e89"", ""disclosure_url"": ""https://example.invalid/consent/crash-to-contact/v1"", ""ip_address"": ""192.0.2.167"", ""user_agent"": ""Mozilla/5.0 (fixture; synthetic) CrashToContactFixture/1.0"", ""sellers_named"": [""CRASH_TO_CONTACT_DEMO_SELLER""], ""source_chain"": [""fixtures/generate_fixture.py"", ""fixtures/synthetic_parties.csv""], ""revoked_at"": null}",ELIGIBLE,,"[""ELIGIBLE_CONSENTED""]","[""47 U.S.C. 227(b)(1)(A) and 47 C.F.R. 64.1200(a)(1)-(2) (prior express consent, written where 64.1200(a)(2) applies); 16 C.F.R. 310.4(b)(1)(iii)(B)(i) (express agreement exception to the national registry).""]",f11f5506453bd9bfa17876bba1ed5847324d734d361889e74a98a671f6730941,2026-09-01T00:00:00+00:00,1.0.0,,
