party_id,full_name,street_address,city,state,zip5,phone_e164,party_latitude,party_longitude,incident_date,report_filing_date,line_type_reported,rnd_response,on_national_dnc,dnc_scrub_age_days,consent_on_file,consent_revoked,fixture_note
P018,Hollis Barrowman,58 Grindlewood Ave,Takoma Park,MD,20912,+12405550118,38.9779,-77.0075,2026-08-05,2026-08-06,wireless,NO,false,2,true,true,
P019,Cressida Naylon,9902 Farhill Bypass,Cumberland,MD,21502,+13015550119,39.6529,-78.7625,2026-08-02,2026-08-03,wireless,NO,false,2,true,false,coordinate far outside Montgomery County
P020,Ferris Aldencourt,74 Stonelap Hollow,Poolesville,MD,20837,+13015550120,39.1462,-77.4166,2026-08-10,2026-08-11,wireless,NO,false,2,true,false,nearest road is ~400m away
P021,Marisol Tenbrook,410 Wickersham Row,Rockville,MD,20851,+13015550121,39.0765,-77.136,2026-07-08,2026-07-10,wireless,NO,false,2,true,false,
P022,Anselm Pryde,1229 Halloway Reach,Silver Spring,MD,20904,+12405550122,39.0653,-76.9822,2026-06-30,2026-07-02,landline,NO,false,3,true,false,
P023,Delphine Ravensby,36 Crowther Gate,Bethesda,MD,20816,+13015550123,38.9603,-77.1215,2026-06-23,2026-06-25,wireless,NO,false,2,true,false,
P024,Idris Halloran,5507 Marchbank Dr,Gaithersburg,MD,20878,+13015550124,39.1157,-77.2405,2026-08-15,2026-08-16,wireless,NO,false,4,true,false,
P025,Solveig Marrable,902 Thistledown Way,Chevy Chase,MD,20815,+12405550125,38.9807,-77.08,2026-07-29,2026-07-30,wireless,NO,false,2,false,false,
P026,Gideon Ashfordly,215 Pennywhistle Ct,Wheaton,MD,20906,+13015550126,39.0605,-77.0508,2026-07-17,2026-07-19,landline,NO,false,6,true,false,
P027,Xiomara Belfount,1140 Ketteridge Ln,Rockville,MD,20855,+12405550127,39.129,-77.166,2026-08-21,2026-08-22,wireless,NO,false,2,true,false,
P028,Rune Ollivander,63 Sparrowgate Rd,Damascus,MD,20872,+13015550128,39.2887,-77.2036,2026-07-05,2026-07-06,wireless,NO,false,3,true,false,
P029,Petra Hollingwood,4820 Ambersley Pl,Kensington,MD,20895,+13015550129,39.0257,-77.0764,2026-08-08,2026-08-09,voip,NO,false,2,true,false,
P030,Caspian Verduyn,7 Rillbank Terrace,Potomac,MD,20854,+12405550130,39.0182,-77.2086,2026-07-24,2026-07-26,wireless,NO,false,2,true,false,
P031,Anneke Sturbridge,2933 Larkfield Dr,Dallas,TX,75201,+12145550131,32.7831,-96.8067,2026-06-27,2026-06-29,wireless,NO,false,2,true,false,
P032,Emrys Callowhill,158 Verdigris Way,San Antonio,TX,78205,+12105550132,29.426,-98.4861,2026-07-12,2026-07-14,landline,NO,false,3,true,false,
P033,Tamsin Ordway,6011 Cindermill Rd,Fort Worth,TX,76102,+18175550133,32.7551,-97.3308,2026-08-04,2026-08-05,wireless,NO,false,2,true,false,
P034,Lucian Ferrabee,44 Quarrystone Ave,Miami,FL,33130,+13055550134,25.7659,-80.2044,2026-06-19,2026-06-21,wireless,NO,false,2,true,false,
P035,Rosalind Kepwick,1806 Turnstile Ct,Jacksonville,FL,32202,+19045550135,30.3268,-81.658,2026-05-22,2026-05-25,landline,NO,false,4,true,false,
P036,Barnaby Wroxeter,329 Mallowdale Ln,St Petersburg,FL,33701,+17275550136,27.7714,-82.639,2026-07-30,2026-08-01,wireless,NO,false,2,true,false,
P037,Freya Danesmoor,9520 Hartsmere Blvd,Rockville,MD,20850,+13015550137,39.09,-77.145,2026-07-20,2026-07-22,wireless,NO,false,2,true,false,
P038,Osgood Trentham,77 Beacontree Row,Silver Spring,MD,20903,+12405550138,39.0186,-76.9958,2026-08-12,2026-08-13,wireless,NO,false,2,true,false,
P039,Ingrid Vasseltine,1315 Coppergate Dr,Bethesda,MD,20852,+13015550139,39.029,-77.118,2026-06-25,2026-06-27,landline,NO,false,3,true,false,
P040,Alaric Penhallow,204 Stiverton Cross,Rockville,MD,20850,+12405550140,39.0836,-77.1512,2026-08-18,2026-08-19,wireless,NO,false,2,true,false,
